original_ADDRESS,original_STREET NUMBER FROM,original_STREET NUMBER TO,original_DIRECTION,original_STREET NAME,original_STREET TYPE,original_TANK TYPE,original_FACILITY ID,original_OWNER,original_FACILITY NAME,original_Tank ID,original_TANK MATERIAL,original_TANK CONSTRUCTION,original_TANK PRODUCT,original_TANK CAPACITY,original_INSTALLATION DATE,original_REMOVAL DATE,original_LAST USED DATE,original_COMMENT,original_DATA SOURCE,original_LATITUDE,original_LONGITUDE,original_LOCATION,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
1717 W 115TH ST,1717,1717,W,115TH,ST,UNDERGROUND STORAGE TANK,1717W111959-07-17,,UNR-LEAVITT,,,,,,07/17/1959,,,"WORK BY: KENNY TANK; INSPECT 2-8K, 1-6K CUTTING OIL",HISTORIC DEPT. OF BUILDINGS,41.68465366370862,-87.66459655598362,POINT (-87.66459655598362 41.68465366370862),0,"1717 West 115th Street, Chicago, IL 60643, United States of America",41.68342605,-87.66544667672594,,1717,West 115th Street,60643,,Morgan Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1111 N CLARK ST,1111,1111,N,CLARK,ST,UNDERGROUND STORAGE TANK,20262241976-04-07,,LOEBER MOTORS,,,,,,04/07/1976,,,WORK BY: KENNEY TANK; INSTALL 1-3K DIESEL FUEL FINAL 3/15/77,HISTORIC DEPT. OF BUILDINGS,41.90221639788775,-87.63125231730768,POINT (-87.63125231730768 41.90221639788775),0,"Fletcher Jones VW & Audi, 1100-1111 North Clark Street, Chicago, IL 60610, United States of America",41.90227855,-87.63098036653653,Fletcher Jones VW & Audi,1100-1111,North Clark Street,60610,Gold Coast,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1650 N LA SALLE ST,1650,1650,N,LA SALLE,ST,UNDERGROUND STORAGE TANK,1650NLA1971-01-14,,DAVID ADDES,,,,,,01/14/1971,,,WORK BY: TULETBOM CONSTRUCTION; INSTALL 1-10K F.O.,HISTORIC DEPT. OF BUILDINGS,41.91255134415066,-87.63330485773581,POINT (-87.63330485773581 41.91255134415066),10.456152783136934,"Eugenie Square, 1660 North LaSalle Drive, Chicago, IL 60614, United States of America",41.9126095,-87.63356895,Eugenie Square,1660,North LaSalle Drive,60614,Old Town Triangle,Lincoln Park,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1162 W OHIO ST,1162,1166,W,OHIO,ST,UNDERGROUND STORAGE TANK,1162OHI1972-04-28,,JAMES COZZO,,,,,,04/28/1972,,,WORK BY: OWNER; INSTALL 2-6K GAS,HISTORIC DEPT. OF BUILDINGS,41.89228852927492,-87.65716574446047,POINT (-87.65716574446047 41.89228852927492),1.3706135958584682,"607 North Racine Avenue, Chicago, IL 60642, United States of America",41.89244225,-87.6571565,,607,North Racine Avenue,60642,Noble Square,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1733 W IRVING PARK RD,1733,1755,W,IRVING PARK,RD,UNDERGROUND STORAGE TANK,1733IRV1989-09-27,,IRVING PARK ASSOCIATION,,,,,,09/27/1989,,,WORK BY: KENARD CORPORATION; SANDFILL 2-5K TKS                       FINAL  1/31/90,HISTORIC DEPT. OF BUILDINGS,41.95412783872086,-87.67277541396327,POINT (-87.67277541396327 41.95412783872086),2.6227071478185096,"1733-1735 West Irving Park Road, Chicago, IL 60613, United States of America",41.953928149999996,-87.6730062373681,,1733-1735,West Irving Park Road,60613,,Lake View Township,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1952 W LAWRENCE AVE,1952,1954,W,LAWRENCE,AVE,UNDERGROUND STORAGE TANK,1952LAW1950-11-29,,FRANCOIS J. DUNES,,,,,,11/29/1950,,,WORK BY: V.A. SMITH; INSTALL 1-1K F.O.,HISTORIC DEPT. OF BUILDINGS,41.96887818436635,-87.67824647819018,POINT (-87.67824647819018 41.96887818436635),0.3501875408248914,"1950-1952 West Lawrence Avenue, Chicago, IL 60640, United States of America",41.969049,-87.6783053,,1950-1952,West Lawrence Avenue,60640,West Ravenswood,Lake View Township,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2300 E 99TH ST,2300,2300,E,99TH,ST,UNDERGROUND STORAGE TANK,230099T1958-02-25,,OUR LADY-GATE OF HEAVEN,,,,,,02/25/1958,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 1-6K F.O.,HISTORIC DEPT. OF BUILDINGS,41.71540537823001,-87.56818684201592,POINT (-87.56818684201592 41.71540537823001),3.8953829088989425,"Porta Coeli Reisdnece, 2260 East 99th Street, Chicago, IL 60617, United States of America",41.716143,-87.56806520093346,Porta Coeli Reisdnece,2260,East 99th Street,60617,Jeffery Manor,South Deering,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10655 S HALSTED ST,10655,10655,S,HALSTED,ST,UNDERGROUND STORAGE TANK,2007001,See Environmental Permit Dataset,CITGO GAS  AND FOOD MART,0005,FRP,SINGLE,GASOLINE-R,10000,01/28/2000,,,"IN COMPLIANCE,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Tank Gauging; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: FRP; Tank Overfill Protection: Automatic Shut-off; Piping Type: Pressurized Piping; Piping Leak Protection: Line Leak Detector; Piping Corrosion Protection: FRP; Piping Wall: Single; Pipe Material: FRP; Stage 2: Y; Red Tag: N; Associated Permit Numbers: 105373    106512; ]",DEPT. OF PUBLIC HEALTH,41.699846928380765,-87.64246730125315,POINT (-87.64246730125315 41.699846928380765),6.883203706906355,"Citgo, 10655 South Halsted Street, Chicago, IL 60628, United States of America",41.699935249999996,-87.64232915,Citgo,10655,South Halsted Street,60628,Chicago,Roseland,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1900 S CALUMET AVE,1900,1934,S,CALUMET,AVE,UNDERGROUND STORAGE TANK,1900CAL1948-11-17,,R R DONNELLY,,,,,,11/17/1948,,,"WORK BY: MIDWEST HEATING; INSTALL 2-12,000 GAL FUEL OIL TANKS    FINAL  8/12/49",HISTORIC DEPT. OF BUILDINGS,41.85656390004215,-87.61927054122143,POINT (-87.61927054122143 41.85656390004215),0,"Donnelly Armory, 1910 South Calumet Avenue, Chicago, IL 60616, United States of America",41.85595705,-87.619558225358,Donnelly Armory,1910,South Calumet Avenue,60616,South Loop,Near South Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
101 W 87TH ST,101,101,W,87TH,ST,UNDERGROUND STORAGE TANK,101W87T1961-11-17,,EATON CORPORATION,,,,,,11/17/1961,,,WORK BY: AUTOMATIC TANK WORKS; INSTALL 1-K GASOLINE,HISTORIC DEPT. OF BUILDINGS,41.736154381112954,-87.62724033477677,POINT (-87.62724033477677 41.736154381112954),42.77642125489236,"Dock's, 112 West 87th Street, Chicago, IL 60620, United States of America",41.7365367,-87.6271831,Dock's,112,West 87th Street,60620,Chicago,Chatham,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10605 S PRAIRIE AVE,10605,10605,S,PRAIRIE,AVE,UNDERGROUND STORAGE TANK,10605PR1950-10-10,,M. RAY,,,,,,10/10/1950,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 1-1K GAL FUEL OIL TANK           FINAL  1/9/51,HISTORIC DEPT. OF BUILDINGS,41.701582688039274,-87.61712238992051,POINT (-87.61712238992051 41.701582688039274),3.043851337321968,"10605 South Prairie Avenue, Chicago, IL 60628, United States of America",41.70155905,-87.6170114481589,,10605,South Prairie Avenue,60628,Rosemoor,Roseland,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2139 W 95TH ST,2139,2139,W,95TH,ST,UNDERGROUND STORAGE TANK,213995T1953-08-10,,JAMES KONTOS,,,,,,08/10/1953,,,WORK BY: H.J. QUINN; INSTALL 2-275G F.O.,HISTORIC DEPT. OF BUILDINGS,41.72091432217505,-87.6763776667145,POINT (-87.6763776667145 41.72091432217505),4.598320639669961,"9504 South Hamilton Avenue, Chicago, IL 60643, United States of America",41.720791399999996,-87.67626765055886,,9504,South Hamilton Avenue,60643,Chicago,Beverly,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11901 S TORRENCE AVE,11901,11901,S,TORRENCE,AVE,UNDERGROUND STORAGE TANK,11901TO1949-09-22,,CARGILL INC.,,,,,,09/22/1949,,,"WORK BY: BLAW-KNOX CONSTRUCTION; INST 3-20,600\1-10,600\1-31K\2-91,500 SOYBEAN, 2-31K HEXANE",HISTORIC DEPT. OF BUILDINGS,41.67908178838062,-87.55916584375287,POINT (-87.55916584375287 41.67908178838062),2.9366143415284385,"11945 South Torrence Avenue, Chicago, IL 60617, United States of America",41.67907928462107,-87.55920104429728,,11945,South Torrence Avenue,60617,,South Deering,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1532 N CLYBOURN AVE,1532,1538,N,CLYBOURN,AVE,UNDERGROUND STORAGE TANK,1532CLY1946-12-10,,CITY OF CHICAGO,,,,,,12/10/1946,,,WORK BY: MOSBECK OIL EQUIPMENT; INSTALL 1-5K FUEL OIL FINAL 4/25/47,HISTORIC DEPT. OF BUILDINGS,41.909194884292646,-87.64733587041395,POINT (-87.64733587041395 41.909194884292646),17.06588610756014,"Earls, 1538 North Clybourn Avenue, Chicago, IL 60642, United States of America",41.9092439,-87.6475313,Earls,1538,North Clybourn Avenue,60642,River North,Near North Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1305 N MILWAUKEE AVE,1305,1305,N,MILWAUKEE,AVE,UNDERGROUND STORAGE TANK,1305MIL1982-12-09,,CITY OF CHICAGO,,,,,,12/09/1982,,,WORK BY: G.M. WRECKING; REMOVE 1-1K F.O.,HISTORIC DEPT. OF BUILDINGS,41.905454303501074,-87.6695268472157,POINT (-87.6695268472157 41.905454303501074),0,"1265-1305 North Milwaukee Avenue, Chicago, IL 60622, United States of America",41.90503805,-87.66861239439586,,1265-1305,North Milwaukee Avenue,60622,Pulaski Park,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1575 S LUMBER ST,1575,1575,S,LUMBER,ST,UNDERGROUND STORAGE TANK,2021903,See Environmental Permit Dataset,AMTRAK/CHICAGO MAINTENANCE YARD,0005,STEEL,DOUBLE,GASOLINE,3000,,,,"IN COMPLIANCE,  Historic data from former Dept. of Environment [ Tank Leak Protection: Interstitial Monitoring; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: Dielectric Coating; Tank Overfill Protection: Alarm and/or Shutoff; Piping Type: Suction Piping; Piping Leak Protection: Vapor Monitoring; Piping Corrosion Protection: Impressed Current; Piping Wall: Single; Pipe Material: Steel; Stage 2: E; Red Tag: N; Associated Permit Numbers: 110508    110508; ]",DEPT. OF PUBLIC HEALTH,41.86013995578642,-87.63545063434822,POINT (-87.63545063434822 41.86013995578642),41.4028186209157,"1601 South Lumber Street, Chicago, IL 60616, United States of America",41.859782,-87.635313,,1601,South Lumber Street,60616,Chicago,South Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
10301 S DOTY AVE,10301,10301,S,DOTY,AVE,UNDERGROUND STORAGE TANK,2039629,See Environmental Permit Dataset,CITY/CALUMET INCINERATOR,0003,,,FUEL OIL,2500,,,,"REMOVED 05/15/00,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 105537; ]",DEPT. OF PUBLIC HEALTH,41.70784763665837,-87.5805613126248,POINT (-87.5805613126248 41.70784763665837),7.700921533737979,"1701 East 103rd Street, Chicago, IL 60617, United States of America",41.707783,-87.580528,,1701,East 103rd Street,60617,,South Deering,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12100 S PEORIA ST,12100,12100,S,PEORIA,ST,UNDERGROUND STORAGE TANK,12100PE1957-08-29,,121ST STREET BUILDING CORPORATION,,,,,,08/29/1957,,,WORK BY: FEDERAL PACKAGING & MAIL CORP.; INSTALL 1-3K GAL ISOPROPYL ALCOHOL UST,HISTORIC DEPT. OF BUILDINGS,41.67404938865701,-87.64437015267464,POINT (-87.64437015267464 41.67404938865701),45.31332415779215,"12101 South Peoria Street, Chicago, IL 60643, United States of America",41.673911,-87.643857,,12101,South Peoria Street,60643,Chicago,West Pullman,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1768 W ARMITAGE AVE,1768,1768,W,ARMITAGE,AVE,UNDERGROUND STORAGE TANK,1768ARM1979-04-17,,AMOCO OIL,,,,,,04/17/1979,,,"WORK BY: PREMIER PETRO CO. ELK GROVE VL; INSTALL 3(10K), REMOVE 1-8K, 1-3K, 2-4K, 1-550F.O.,1-550 W.O",HISTORIC DEPT. OF BUILDINGS,41.91796074174603,-87.67270436980655,POINT (-87.67270436980655 41.91796074174603),5.480063953223699,"North Wood Street, Chicago, IL 60614, United States of America",41.917937,-87.67277,North Wood Street,,North Wood Street,60614,Bucktown,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1900 S PULASKI RD,1900,1900,S,PULASKI,RD,UNDERGROUND STORAGE TANK,2041843,See Environmental Permit Dataset,PULASKI  CITGO GAS,0005,FRP,DOUBLE,GASOLINE-P,8000,09/23/2003,,,"IN COMPLIANCE,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Gauging; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: FRP; Tank Overfill Protection: Drop Tube Valve; Piping Type: Pressurized Piping; Piping Corrosion Protection: Flex/Retractable; Piping Wall: Double; Pipe Material: Flex pipe; Associated Permit Numbers: 110278  107618  110278; ]",DEPT. OF PUBLIC HEALTH,41.85498313235789,-87.72499648315791,POINT (-87.72499648315791 41.85498313235789),5.562797391895224,"4001 West 19th Street, Chicago, IL 60623, United States of America",41.854936,-87.725019,,4001,West 19th Street,60623,K-Town Historic District,North Lawndale,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022 N CALIFORNIA AVE,2022,2022,N,CALIFORNIA,AVE,UNDERGROUND STORAGE TANK,2035154,See Environmental Permit Dataset,NORA INC. AUTO PARTS,0001,,,,2000,,,," ",DEPT. OF PUBLIC HEALTH,41.91815977779165,-87.69736699300036,POINT (-87.69736699300036 41.91815977779165),0,"2020 North California Avenue, Chicago, IL 60647, United States of America",41.918122249999996,-87.69764011167314,,2020,North California Avenue,60647,Palmer Square,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018 S STATE ST,2018,2018,S,STATE,ST,UNDERGROUND STORAGE TANK,2018STA1948-09-08,,AETNA AUTO PARTS COMPANY,,,,,,09/08/1948,,,WORK BY: MOSBECK OIL EQUIPMENT; INSPECT 1-2K GAS,HISTORIC DEPT. OF BUILDINGS,41.85487468188825,-87.62727969738349,POINT (-87.62727969738349 41.85487468188825),39.565853524245526,"2000 South State Street, Chicago, IL 60616, United States of America",41.855115,-87.627632,,2000,South State Street,60616,Chicago,South Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2242 S GROVE ST,2242,2242,S,GROVE,ST,UNDERGROUND STORAGE TANK,2242GRO1957-10-17,,CUNEO PRESS,,,,,,10/17/1957,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 1-49815 GAL FUEL OIL TANK           FINAL  11/17/58,HISTORIC DEPT. OF BUILDINGS,41.85161518421979,-87.63989263092157,POINT (-87.63989263092157 41.85161518421979),31.220347158826634,"2344 S Grove Street, Chicago, IL 60616, United States of America",41.851387,-87.639673,,2344,S Grove Street,60616,Chicago,South Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2352 S ASHLAND AVE,2352,2352,S,ASHLAND,AVE,UNDERGROUND STORAGE TANK,2352ASH1983-09-06,,CITY OF CHICAGO,,,,,,09/06/1983,,,WORK BY: STANDARD TANK; INSTALL 1-(12K) DIESAL OIL  COMPLETED 3/12/84,HISTORIC DEPT. OF BUILDINGS,41.84887455550205,-87.6661259230018,POINT (-87.6661259230018 41.84887455550205),24.92935609595094,"Grainger, 2354-2356 South Ashland Avenue, Chicago, IL 60608, United States of America",41.848414399999996,-87.66650806453217,Grainger,2354-2356,South Ashland Avenue,60608,Canalport,Lower West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
230 S WELLS ST,230,230,S,WELLS,ST,UNDERGROUND STORAGE TANK,0230WEL1948-06-28,,W. B. WALLMES,,,,,,06/28/1948,,,WORK BY: CHICAGO STEEL TANK; INSTALL 1-2K GAL FUEL OIL TANK            FINAL  10/13/48,HISTORIC DEPT. OF BUILDINGS,41.878512101252376,-87.63388647018527,POINT (-87.63388647018527 41.878512101252376),1.1604176345692137,"200 West Jackson Boulevard, Chicago, IL 60606, United States of America",41.87837615,-87.63410172430942,200 West Jackson,200,West Jackson Boulevard,60606,Printer's Row,Loop,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1207 W 79TH ST,1207,1207,W,79TH,ST,UNDERGROUND STORAGE TANK,2039996,See Environmental Permit Dataset,Walgreens Parking Lot,0001,,,HEATING OI,850,,,," ",DEPT. OF PUBLIC HEALTH,41.750384397479216,-87.65404748425352,POINT (-87.65404748425352 41.750384397479216),13.93449400601177,"1201 West 79th Street, Chicago, IL 60620, United States of America",41.750274,-87.653968,,1201,West 79th Street,60620,Chicago,Auburn Gresham,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
15 W HUBBARD ST,15,15,W,HUBBARD,ST,UNDERGROUND STORAGE TANK,2042012,See Environmental Permit Dataset,COMMERCIAL OFFICE BUILDING,0001,,,HEATING OI,1100,,,12/31/1973,"15 W HUBBARD, REMOVED 1/28/04,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 107779     107779; ]",DEPT. OF PUBLIC HEALTH,41.889946196683894,-87.62858930629194,POINT (-87.62858930629194 41.889946196683894),0,"9-15 West Hubbard Street, Chicago, IL 60654, United States of America",41.8898193,-87.62856938694094,,9-15,West Hubbard Street,60654,River North,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1131 S AUSTIN BLVD,1131,1131,S,AUSTIN,BLVD,UNDERGROUND STORAGE TANK,2045741,See Environmental Permit Dataset,Apartment Building,1,STEEL,,HEATING OI,"1,000",,11/12/2014,,REMOVED ON 11/12/2014,DEPT. OF PUBLIC HEALTH,41.86634853507471,-87.77401366899589,POINT (-87.77401366899589 41.86634853507471),3.5166832167555344,"1131 South Austin Boulevard, Chicago, IL 60644, United States of America",41.866300550000005,-87.77386495971615,,1131,South Austin Boulevard,60644,Chicago,Austin,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2153 W 112TH ST,2153,2153,W,112TH,ST,UNDERGROUND STORAGE TANK,2043444,See Environmental Permit Dataset,MORGAN PARK ACADEMY GYNMASIUM,0001,,,HEATING OI,6000,,,12/31/1973,"2153 W 112TH ST, REMOVED 10/23/2006,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 108981     108981; ]",DEPT. OF PUBLIC HEALTH,41.68987083466027,-87.67585261329673,POINT (-87.67585261329673 41.68987083466027),0,"Morgan Park Academy, 2153 West 111th Street, Chicago, IL 60643, United States of America",41.69037755,-87.67573982640546,Morgan Park Academy,2153,West 111th Street,60643,,Morgan Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1400 E 87TH ST,1400,1400,E,87TH,ST,UNDERGROUND STORAGE TANK,1.4E+901957-04-01,,GERVAIS,,,,,,04/01/1957,,,"WORK BY: STANDARD TANK; INSTALL 1-2K & 1-3K GASLN, 1-1K FO, 1-500 WO  FIN 8/16/57",HISTORIC DEPT. OF BUILDINGS,41.736962181879896,-87.59023178292782,POINT (-87.59023178292782 41.736962181879896),20.55562844900336,"1400 East 87th Street, Chicago, IL 60619, United States of America",41.737121,-87.590105,,1400,East 87th Street,60619,Chicago,Marynook,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1400 N SACRAMENTO AVE,1400,1400,N,SACRAMENTO,AVE,UNDERGROUND STORAGE TANK,2020363,See Environmental Permit Dataset,CHICAGO PARK DIST(HUMBOLT PARK),0001,,,HEATING OI,1000,,,,"1400 N SACRAMENTO, REMOVED 10/06/94,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 101234; ]",DEPT. OF PUBLIC HEALTH,41.86289481854531,-87.70215996841996,POINT (-87.70215996841996 41.86289481854531),6.6746869760783785,"West Douglas Boulevard, Chicago, IL 60623, United States of America",41.8628828,-87.7023234,West Douglas Boulevard,,West Douglas Boulevard,60623,,North Lawndale,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
112 S HALSTED ST,112,112,S,HALSTED,ST,UNDERGROUND STORAGE TANK,2043439,See Environmental Permit Dataset,GREEKTOWN RESIDENTIAL,0001,,,HEATING OI,1000,,,12/31/1973,"REMOVED 9/26/2006,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 108980     108980; ]",DEPT. OF PUBLIC HEALTH,41.88006367844911,-87.6474565615576,POINT (-87.6474565615576 41.88006367844911),0,"116 South Halsted Street, Chicago, IL 60607, United States of America",41.8800702,-87.64754138104809,,116,South Halsted Street,60607,Greektown,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1450 S HALSTED ST,1450,1450,S,HALSTED,ST,UNDERGROUND STORAGE TANK,2040320,See Environmental Permit Dataset,UNIVERSITY OF ILLINOIS/VACANT LOT,0003,,,HEATING OI,550,,,12/31/1973,"1450 S HALSTED, REMOVED 02/07/01,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 105971     105971; ]",DEPT. OF PUBLIC HEALTH,41.862132405241404,-87.64691974930047,POINT (-87.64691974930047 41.862132405241404),2.7028171906033127,"807 West 14th Place, Chicago, IL 60607, United States of America",41.862067350000004,-87.6470008931607,,807,West 14th Place,60607,University Village,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10000 W OHARE ST,10000,10000,W,OHARE,ST,UNDERGROUND STORAGE TANK,2032678,See Environmental Permit Dataset,O'HARE AIRPORT/FAA CHICAGO (ASR-7),0014,,,DSL-RUNWAY,550,,,,"FAA W O'HARE STREET, REMOVED 5/21/98,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 103731; ]",DEPT. OF PUBLIC HEALTH,41.97620113902387,-87.90530912510346,POINT (-87.90530912510346 41.97620113902387),0,"O'Hare International Airport, 10000 Baggage Road, Chicago, IL 60666, United States of America",41.9782523,-87.90923552598412,O'Hare International Airport,10000,Baggage Road,60666,,O'Hare,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1700 N CICERO AVE,1700,1700,N,CICERO,AVE,UNDERGROUND STORAGE TANK,1700CIC1965-04-06,,U-HAUL,,,,,,04/06/1965,,,"WORK BY: ROBERT YOUNG INC.; INSPECT 1-3,000 GALLON GASOLINE        FINAL  5/26/65",HISTORIC DEPT. OF BUILDINGS,41.91149688771853,-87.74605556938182,POINT (-87.74605556938182 41.91149688771853),22.81627436730522,"4810 West Wabansia Avenue, Chicago, IL 60639, United States of America",41.911596,-87.746297,,4810,West Wabansia Avenue,60639,Chicago,North Austin,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1061 W JACKSON BLVD,1061,1061,W,JACKSON,BLVD,UNDERGROUND STORAGE TANK,1061JAC1990-03-16,,ALLIANCE HOSE & RUBBER,,,,,,03/16/1990,,,WORK BY: ENVIRONMENTAL CONTRACTOR; REMOVE 1-2K GAL FUEL OIL TANK              FINAL  7/22/92,HISTORIC DEPT. OF BUILDINGS,41.87772619567636,-87.65428490355417,POINT (-87.65428490355417 41.87772619567636),0,"1061 West Jackson Boulevard, Chicago, IL 60607, United States of America",41.8776249,-87.65424005066563,,1061,West Jackson Boulevard,60607,,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1111 W WINONA ST,1111,1111,W,WINONA,ST,UNDERGROUND STORAGE TANK,2041069,See Environmental Permit Dataset,GRAN ADELL,0002,,,GASOLINE,700,,,12/31/1973,"REMOVED 4/11/2002,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 106805     106805; ]",DEPT. OF PUBLIC HEALTH,41.97512066660159,-87.65828803155793,POINT (-87.65828803155793 41.97512066660159),0,"West Argyle Street Historic District, North Bruno Street, Chicago, IL 60640, United States of America",41.973366999999996,-87.65735850947118,West Argyle Street Historic District,,North Bruno Street,60640,West Argyle Street Historic District,Lake View Township,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1500 W 47TH ST,1500,1500,W,47TH,ST,UNDERGROUND STORAGE TANK,1500W471979-10-03,,WHOLE SALE OIL,,,,,,10/03/1979,,,"WORK BY: JESSE A. GARCIA; INSPECT REMOVE 1-550G F.O., 1-550G W.O., FINAL 10/8/79",HISTORIC DEPT. OF BUILDINGS,41.80874579617052,-87.66259697310142,POINT (-87.66259697310142 41.80874579617052),3.308766626106764,"Axis Communications, South Laflin Street, Chicago, IL 60636, United States of America",41.808738,-87.6626355,Axis Communications,,South Laflin Street,60636,Whiskey Point,New City,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11100 S WESTERN AVE,11100,11100,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,2023029,See Environmental Permit Dataset,Beverly Art Center,0007,,,UNKNOWN NO,250,,,," ",DEPT. OF PUBLIC HEALTH,41.69172738781796,-87.68130012827827,POINT (-87.68130012827827 41.69172738781796),18.327170174821294,"2401 West 111th Street, Chicago, IL 60643, United States of America",41.691634,-87.681482,,2401,West 111th Street,60643,Chicago,Kennedy Park,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
